package,path,time
@kaggle/components,src/community/navigation/NavigationActiveEventsHelpers.test.tsx
@kaggle/components,src/kernels/DataSourceSelector/components/DataSourceSelector.test.tsx,19.719
@kaggle/components,src/datasets/Tasks/SubmissionModal/View/View.test.tsx,18.895
@kaggle/components,src/datasets/DataExplorerV3/Container/actions/loadColumnBaseInfo.test.ts
@kaggle/components,src/datasets/Metadata/View/UsageInfo/Doi/Doi.test.tsx,63.191
@kaggle/components,src/datasets/ApiHint/ApiHintSmallDetailed/ApiHintSmallDetailed.test.tsx,67.395
@kaggle/components,src/datasets/Tasks/SubmissionList/View/View.test.tsx,64.232
@kaggle/components,src/datasets/DataExplorerV3/Container/actions/loadInitialChildren.test.ts,59.911
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/hasSimpleNotebookPreview.test.ts
@kaggle/components,src/community/search/models/SearchFilterSet.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/TableDetailPreview/TableMetadata.test.tsx,69.005
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/getChildren.test.ts
@kaggle/components,src/datasets/Uploaders/LocalDirectories/Shared/DirectoryItem/StatusIcon/StatusIcon.test.tsx,61.914
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/Shared/MetricCell.test.tsx,64.143
@kaggle/components,src/datasets/List/MaterialView/View.test.tsx,111.282
@kaggle/components,src/datasets/List/MaterialView/Header/Header.test.tsx,64.753
@kaggle/components,src/datasets/CodeConfig/CodeConfig.test.tsx,67.571
@kaggle/components,src/datasets/DataExplorerV3/Preview/Preview.test.tsx,112.557
@kaggle/components,src/datasets/Uploaders/CompetitionUploader/View/View.test.tsx,62.847
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/getVerificationInfo.test.ts
@kaggle/components,src/datasets/Uploaders/VersionUploader/View/View.test.tsx,62.869
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/TableDetailPreview/TableDetailPreview.test.tsx,63.871
@kaggle/components,src/competitions/context/providers/lang/lang.test.ts
@kaggle/components,src/community/navigation/NavigationActiveEventsList.test.tsx,68.131
@kaggle/components,src/datasets/DatasetLandingPageMaterial/View/Search/TagsRow/TagsRow.test.tsx,66.767
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/getColumnTypeIcon.test.ts
@kaggle/components,src/kernels/Listing/listNotebooksUtils.test.tsx
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/Shared/ColumnQuery/ColumnQuery.test.tsx,63.687
@kaggle/components,src/community/search/models/SearchResultItemCompetition.test.ts
@kaggle/components,src/datasets/Uploaders/DatasetUploader/View/View.test.tsx,64.275
@kaggle/components,src/community/Discussions/Views/DiscussionsTopicList/DiscussionsTopicList.test.tsx,85.933
@kaggle/components,src/competitions/shared/LazyList/LazyList.test.tsx,67.717
@kaggle/components,src/community/search/models/SearchQuery.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/toErrorMessage.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/getNeededColumns.test.ts
@kaggle/components,src/community/search/models/SearchResultItem.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Preview/Description/Description.test.tsx
@kaggle/components,src/common/ReactJoin/ReactJoin.test.tsx,5.139
@kaggle/components,src/datasets/Citation/Pane/Pane.test.tsx,5.248
@kaggle/components,src/datasets/List/MaterialDatasetsList.test.tsx,116.59
@kaggle/components,src/competitions/context/providers/location/location.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Preview/PreviewControl/ColumnSelector.test.tsx,75.038
@kaggle/components,src/kernels/CaipExportModal/CaipExportModal.test.tsx,70.499
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/TableColumnPreview/ColumnPreviewCell.test.tsx,5.811
@kaggle/components,src/datasets/Tasks/SubmissionList/SubmissionListItem/SubmissionListItem.test.tsx
@kaggle/components,src/datasets/DataExplorerV3/Container/actions/expand.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/Shared/HeaderRow.test.tsx,5.385
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/TableCompactPreview/TableCompactPreview.test.tsx,6.296
@kaggle/components,src/competitions/context/providers/viewport/viewport.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Tree/Tree.test.tsx,5.497
@kaggle/components,src/community/search/views/SearchPageSelector/SearchPageSelector.test.tsx,5.223
@kaggle/components,src/datasets/Tasks/List/View/View.test.tsx,6.148
@kaggle/components,src/community/search/views/SearchFullResultsPage/SearchFullResultsPage.test.tsx,68.961
@kaggle/components,src/datasets/DatasetLandingPageMaterial/View/Search/Search.test.tsx,69.258
@kaggle/components,src/datasets/AttachToCompetitionModal/AttachToCompetitionModal.test.tsx,6.549
@kaggle/components,src/datasets/Uploaders/LocalDirectories/Directory/Directory.test.tsx,5.533
@kaggle/components,src/datasets/List/MaterialView/Header/Filters/Container/Modal/Modal.test.tsx,5.881
@kaggle/components,src/datasets/DataExplorerV3/RightPanel/NotebookViewerOutputRightPanel.test.tsx,9.035
@kaggle/components,src/datasets/Citation/Modal/Modal.test.tsx
@kaggle/components,src/datasets/List/MaterialView/Header/SearchHistory/SearchHistory.test.tsx
@kaggle/components,src/competitions/shared/Table/Table.test.tsx,10.091
